cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_15#prev_2021|relative|25-64|189335982.72|11548|10639665.37|11548|16395.564836|921.3426888
secondary_sector|bd_15#prev_2021|relative|65+|80369293.452|3380|-12410755.05|3380|23777.897471|-3671.821021
secondary_sector|bd_16#inc_2016_2021|father|0-24|3866912.2107|384|993400.86337|384|10070.083882|2586.981415
secondary_sector|bd_16#inc_2016_2021|mother|0-24|7886882.1436|406|4003715.0908|406|19425.818088|9861.3672187
secondary_sector|bd_16#inc_2016_2021|relative|25-64|20900533.019|1407|-725188.1984|1407|14854.678763|-515.4144978
secondary_sector|bd_16#inc_2016_2021|relative|65+|27014776.848|996|1653449.0407|996|27123.269928|1660.0893983
secondary_sector|bd_16#prev_2021|father|0-24|12120315.138|970|2105364.4051|970|12495.170245|2170.4787681
secondary_sector|bd_16#prev_2021|mother|0-24|12967596.484|985|1699797.7004|985|13165.072573|1725.6829446
secondary_sector|bd_16#prev_2021|relative|25-64|66800100.921|4016|-494969.54|4016|16633.491265|-123.2493874
secondary_sector|bd_16#prev_2021|relative|65+|61268424.836|2378|5647548.2753|2378|25764.686643|2374.9151705
secondary_sector|bd_17#inc_2016_2021|father|0-24|1643906.2845|109|428711.09128|109|15081.709032|3933.1292778
secondary_sector|bd_17#inc_2016_2021|mother|0-24|2018610.9538|114|329001.20729|114|17707.11363|2885.9755025
secondary_sector|bd_17#inc_2016_2021|relative|25-64|19560407.317|862|6868975.4366|862|22691.887839|7968.6489984
secondary_sector|bd_17#inc_2016_2021|relative|65+|29084984.891|1347|2428008.0847|1347|21592.4164|1802.5301297
secondary_sector|bd_17#prev_2021|father|0-24|3467842.0522|314|-161474.6958|314|11044.082969|-514.2506234
secondary_sector|bd_17#prev_2021|mother|0-24|7375183.269|324|3986367.0201|324|22762.911324|12303.601914
secondary_sector|bd_17#prev_2021|relative|25-64|30326153.53|1522|-1966648.691|1522|19925.199428|-1292.147629
