cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost_total|act_py|att_cost_total|att_py|n_cases_included|act_cost_per_person|att_cost_per_person|att_cost_prop
filled_prescriptions|after_index|no|bd_07#prev_2021|pooled|65+|468552262.05|183625.35068|46016771.383|183625.35068|184854|2551.6752469|250.60140776|
filled_prescriptions|after_index|no|bd_07#prev_2021|sibling|65+|16904327.76|6551.0493151|1394662.5336|6551.0493151|6586|2580.4000164|212.89147226|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|father|0-24|60672429.61|49280.672513|11657826.55|49280.672513|49390|1231.1607475|236.55981049|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|mother|0-24|79786721.54|51632.730541|23533166.809|51632.730541|51687|1545.2741062|455.78001709|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|child|25-64|1607602.16|2823.5221573|403295.74456|2823.5221573|2833|569.36056118|142.83427651|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|parent|25-64|24890741.03|7372.0025002|3185545.953|7372.0025002|7434|3376.3880342|432.11406303|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|partner|25-64|13457461.66|9611.8737331|3617268.5569|9611.8737331|9630|1400.087229|376.33334117|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|pooled|25-64|44881550.17|23214.558762|7823115.8656|23214.558762|23316|1933.3363442|336.99179665|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|sibling|25-64|4925745.32|3407.1603713|617005.6111|3407.1603713|3419|1445.7039832|181.09086273|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|child|65+|599449.96|371.80984355|-3663.049863|371.80984355|374|1612.2487621|-9.851944284|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|partner|65+|1476026.57|359.27055169|154778.42719|359.27055169|363|4108.3984286|430.81300836|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|pooled|65+|2157440.23|763.08039524|161576.22732|763.08039524|769|2827.2777593|211.74207637|
filled_prescriptions|after_index|no|bd_08#inc_2016_2021|sibling|65+|81963.7|32|10460.85|32|32|2561.365625|326.9015625|
filled_prescriptions|after_index|no|bd_08#prev_2021|father|0-24|130030426|83325.852055|24250066.483|83325.852055|83499|1560.5052069|291.02692484|
filled_prescriptions|after_index|no|bd_08#prev_2021|mother|0-24|160739609.8|87240.287671|49433342.921|87240.287671|87349|1842.4928905|566.63434109|
filled_prescriptions|after_index|no|bd_08#prev_2021|child|25-64|4329986.21|8175.6767123|903982.01164|8175.6767123|8198|529.61808085|110.56968658|
filled_prescriptions|after_index|no|bd_08#prev_2021|parent|25-64|103069165.9|29999.082192|19109206.562|29999.082192|30208|3435.7439751|636.99303997|
filled_prescriptions|after_index|no|bd_08#prev_2021|partner|25-64|38186645.43|27323.383562|11567792.993|27323.383562|27361|1397.5811357|423.3660508|
filled_prescriptions|after_index|no|bd_08#prev_2021|pooled|25-64|166510298.27|79605.712329|33579341.536|79605.712329|79909|2091.6878123|421.82075323|
filled_prescriptions|after_index|no|bd_08#prev_2021|sibling|25-64|20924500.73|14107.569863|1998359.9696|14107.569863|14142|1483.210853|141.65160896|
filled_prescriptions|after_index|no|bd_08#prev_2021|child|65+|1080347.71|715.61643836|13594.208767|715.61643836|717|1509.6742502|18.996501531|
filled_prescriptions|after_index|no|bd_08#prev_2021|partner|65+|3219775.36|830.67671233|369742.2174|830.67671233|835|3876.0871856|445.10964604|
filled_prescriptions|after_index|no|bd_08#prev_2021|pooled|65+|4662625.4|1699.2684932|319897.56315|1699.2684932|1706|2743.9015193|188.25604337|
filled_prescriptions|after_index|no|bd_08#prev_2021|sibling|65+|362502.33|152.97534247|-63438.86301|152.97534247|154|2369.6781727|-414.6999248|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|father|0-24|13672228.4|6626.1141852|4297640.3081|6626.1141852|6647|2063.3855708|648.59134449|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|mother|0-24|16339489.29|7615.2097912|3392437.5635|7615.2097912|7631|2145.6387595|445.48182604|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|child|25-64|1053824.61|1335.9043416|309420.13127|1335.9043416|1340|788.84735767|231.61847868|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|parent|25-64|11430862.54|3323.6234598|1907205.0707|3323.6234598|3355|3439.2772461|573.83307518|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|partner|25-64|3607056.89|2278.308062|587848.99721|2278.308062|2285|1583.2173665|258.01997852|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|pooled|25-64|19607685.43|9012.3913242|3689083.5921|9012.3913242|9062|2175.6362684|409.33459937|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|sibling|25-64|3515941.39|2074.5554607|884609.39292|2074.5554607|2082|1694.7926708|426.40913182|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|child|65+|1103440.21|512.17528258|337427.83132|512.17528258|514|2154.4190974|658.81318915|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|partner|65+|1879906.17|392.1152182|366771.40721|392.1152182|399|4794.2698542|935.36641828|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|pooled|65+|3080963.32|940.29050079|705960.87853|940.29050079|949|3276.6079392|750.79018446|
filled_prescriptions|after_index|no|bd_09#inc_2016_2021|sibling|65+|97616.94|36|1761.64|36|36|2711.5816667|48.934444444|
filled_prescriptions|after_index|no|bd_09#prev_2021|father|0-24|12981694.99|5443.7780822|4183459.1336|5443.7780822|5459|2384.6848262|768.48451028|
filled_prescriptions|after_index|no|bd_09#prev_2021|mother|0-24|15360679.11|6314.2109589|5608947.6204|6314.2109589|6326|2432.715538|888.30538874|
filled_prescriptions|after_index|no|bd_09#prev_2021|child|25-64|7013164.45|6721.6739726|2600702.076|6721.6739726|6731|1043.3657566|386.91285633|
filled_prescriptions|after_index|no|bd_09#prev_2021|parent|25-64|54009297.52|14420.416438|6059960.4378|14420.416438|14566|3745.3354937|420.23477364|
filled_prescriptions|after_index|no|bd_09#prev_2021|partner|25-64|19506438.64|10373.923288|7309314.7751|10373.923288|10393|1880.3338042|704.585389|
filled_prescriptions|after_index|no|bd_09#prev_2021|pooled|25-64|98904522.59|41242.972603|18519144.044|41242.972603|41445|2398.0939382|449.02544302|
filled_prescriptions|after_index|no|bd_09#prev_2021|sibling|25-64|18375621.98|9726.9589041|2549166.7555|9726.9589041|9755|1889.1435814|262.07232709|
filled_prescriptions|after_index|no|bd_09#prev_2021|child|65+|3968506.54|1907.6821918|1294338.5134|1907.6821918|1914|2080.2765561|678.48749598|
filled_prescriptions|after_index|no|bd_09#prev_2021|partner|65+|5673919.54|1120.8547945|1185583.1815|1120.8547945|1139|5062.1361194|1057.749128|
filled_prescriptions|after_index|no|bd_09#prev_2021|pooled|65+|10896982.19|3329.8054795|3011596.753|3329.8054795|3355|3272.5581891|904.43624158|
filled_prescriptions|after_index|no|bd_09#prev_2021|sibling|65+|1254556.11|301.26849315|531675.05808|301.26849315|302|4164.245975|1764.7881215|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|father|0-24|6458711.51|4470.8926267|498933.769|4470.8926267|4481|1444.6134249|111.59600792|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|mother|0-24|6659357.84|4683.2623924|-122201.6304|4683.2623924|4686|1421.9484799|-26.09327007|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|child|25-64|79891.3|133.76712329|-45998.54315|133.76712329|134|597.24166923|-343.8703175|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|parent|25-64|1243755.6|429.72077251|136283.14385|429.72077251|432|2894.3343668|317.14348611|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|partner|25-64|384802.2|504.64501085|-2439.338309|504.64501085|507|762.52056738|-4.833770783|
filled_prescriptions|after_index|no|bd_10#inc_2016_2021|pooled|25-64|2110842.75|1280.5262145|200452.01855|1280.5262145|1287|1648.4182253|156.5387856|
