additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_07#prev_2021|65+|sibling|223742|7446|0.88
no|bd_08#inc_2016_2021|0-24|father|60667|49390|1
no|bd_08#inc_2016_2021|0-24|mother|60667|51687|1
no|bd_08#inc_2016_2021|0-24|no_relative|60667|3599|
no|bd_08#inc_2016_2021|25-64|child|24563|2844|0.99
no|bd_08#inc_2016_2021|25-64|no_relative|24563|847|
no|bd_08#inc_2016_2021|25-64|parent|24563|7434|1
no|bd_08#inc_2016_2021|25-64|partner|24563|9691|0.99
no|bd_08#inc_2016_2021|25-64|pooled|24563|23716|0.98
no|bd_08#inc_2016_2021|25-64|sibling|24563|3747|0.91
no|bd_08#inc_2016_2021|65+|child|924|374|1
