var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
bd_02#inc_2016_2021|0-24|father|1|cci_g|cci_g: +3|439 (1.8)|1.78462539127606||439
bd_02#inc_2016_2021|0-24|father|1|cci_g|cci_g: 0|21,159 (86.0)|86.0156916947843||21159
bd_02#inc_2016_2021|0-24|father|1|cci_g|cci_g: 1-2|3,001 (12.2)|12.1996829139395||3001
bd_02#inc_2016_2021|0-24|father|1|age_index|age_index|51.1 (46.8;55.5)|46.7780821917808|55.4547945205479|51.133879781
bd_02#inc_2016_2021|0-24|mother|0|__n|__n|23,853 (100.0)|100||23853
bd_02#inc_2016_2021|0-24|mother|0|male|male|0 (0.0)|0||0
bd_02#inc_2016_2021|0-24|mother|0|cci_g|cci_g: title||||
bd_02#inc_2016_2021|0-24|mother|0|cci_g|cci_g: +3|300 (1.3)|1.25770343353037||300
bd_02#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 0|20,948 (87.8)|87.8212384186475||20948
bd_02#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 1-2|2,605 (10.9)|10.921058147822||2605
bd_02#inc_2016_2021|0-24|mother|0|age_index|age_index|48.9 (44.8;52.9)|44.7770566659181|52.9100681188711|48.917808219
bd_02#inc_2016_2021|0-24|mother|1|__n|__n|23,853 (100.0)|100||23853
bd_02#inc_2016_2021|0-24|mother|1|male|male|0 (0.0)|0||0
bd_02#inc_2016_2021|0-24|mother|1|cci_g|cci_g: title||||
bd_02#inc_2016_2021|0-24|mother|1|cci_g|cci_g: +3|313 (1.3)|1.31220391565002||313
bd_02#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 0|20,372 (85.4)|85.4064478262692||20372
bd_02#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 1-2|3,168 (13.3)|13.2813482580807||3168
bd_02#inc_2016_2021|0-24|mother|1|age_index|age_index|49.0 (44.9;52.9)|44.9155400853357|52.9228085934576|48.983561644
bd_02#inc_2016_2021|25-64|parent|0|__n|__n|13,325 (100.0)|100||13325
