cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|yes|bd_01#inc_2016_2021|sibling|25-64|31624665.168|2127|-821617.6151|2127|14868.201772|-386.2800259
secondary_sector|after_index|yes|bd_01#inc_2016_2021|child|65+|52193471.156|4646|-6384036.399|4646|11234.066112|-1374.093069
secondary_sector|after_index|yes|bd_01#inc_2016_2021|partner|65+|152710157.51|4954|25602464.221|4954|30825.627273|5168.0388011
secondary_sector|after_index|yes|bd_01#inc_2016_2021|pooled|65+|204903628.67|9600|19218427.821|9600|21344.127986|2001.9195647
secondary_sector|before_index|no|bd_01#inc_2016_2021|father|0-24|28517530.379|2264|7412680.0152|2264|12596.082323|3274.1519502
secondary_sector|before_index|no|bd_01#inc_2016_2021|mother|0-24|43345144.492|2767|8983293.2051|2767|15665.032343|3246.5822931
secondary_sector|before_index|no|bd_01#inc_2016_2021|child|25-64|52862684.525|5432.0904334|2502917.3134|5432.0904334|9731.5545779|460.76503034
secondary_sector|before_index|no|bd_01#inc_2016_2021|parent|25-64|126912317.75|5168|16658894.504|5168|24557.337026|3223.4702988
secondary_sector|before_index|no|bd_01#inc_2016_2021|partner|25-64|193866208.77|13882|38373167.761|13882|13965.293817|2764.2391414
secondary_sector|before_index|no|bd_01#inc_2016_2021|pooled|25-64|432360780.01|28710.090433|56590081.468|28710.090433|15059.540861|1971.0868414
secondary_sector|before_index|no|bd_01#inc_2016_2021|sibling|25-64|58719568.97|4228|-944898.1104|4228|13888.261346|-223.485835
secondary_sector|before_index|no|bd_01#inc_2016_2021|child|65+|56989871.852|5050|10702598.03|5050|11285.123139|2119.3263426
secondary_sector|before_index|no|bd_01#inc_2016_2021|partner|65+|144767098.6|5161|18746249.227|5161|28050.203178|3632.290104
secondary_sector|before_index|no|bd_01#inc_2016_2021|pooled|65+|201756970.45|10211|29448847.257|10211|19758.786647|2884.0316577
secondary_sector|before_index|yes|bd_01#inc_2016_2021|father|0-24|26708443.806|2166|3383296.8981|2166|12330.768147|1562.0022614
secondary_sector|before_index|yes|bd_01#inc_2016_2021|mother|0-24|41154664.796|2661|11119660.493|2661|15465.86426|4178.7525339
secondary_sector|before_index|yes|bd_01#inc_2016_2021|child|25-64|46007493.718|5023.7042219|5603866.2114|5023.7042219|9158.0817035|1115.4849019
secondary_sector|before_index|yes|bd_01#inc_2016_2021|parent|25-64|110679830.94|4635|13221022.956|4635|23879.143677|2852.4321371
secondary_sector|before_index|yes|bd_01#inc_2016_2021|partner|25-64|180071458.28|13310|22646904.031|13310|13529.035183|1701.4954193
secondary_sector|before_index|yes|bd_01#inc_2016_2021|pooled|25-64|365293808.08|25095.704222|40548995.426|25095.704222|14556.029385|1615.7743599
secondary_sector|before_index|yes|bd_01#inc_2016_2021|sibling|25-64|28535025.14|2127|-922797.7722|2127|13415.620658|-433.8494463
secondary_sector|before_index|yes|bd_01#inc_2016_2021|child|65+|52300378.69|4646|-5316490.824|4646|11257.076774|-1144.315718
secondary_sector|before_index|yes|bd_01#inc_2016_2021|partner|65+|139803656.94|4954|28791724.54|4954|28220.358688|5811.8135931
secondary_sector|before_index|yes|bd_01#inc_2016_2021|pooled|65+|192104035.63|9600|23475233.716|9600|20010.837045|2445.3368455
secondary_sector|after_index|no|bd_01#prev_2021|father|0-24|21127180.661|1527|4212511.2045|1527|13835.743721|2758.6844823
secondary_sector|after_index|no|bd_01#prev_2021|mother|0-24|32963628.969|1807|9289251.6655|1807|18242.185373|5140.7037441
secondary_sector|after_index|no|bd_01#prev_2021|child|25-64|258540697.59|21926.081967|77074360.817|21926.081967|11791.468169|3515.1907638
secondary_sector|after_index|no|bd_01#prev_2021|parent|25-64|568621101.12|18841|45113492.081|18841|30179.985198|2394.4319347
secondary_sector|after_index|no|bd_01#prev_2021|partner|25-64|588932493.65|36558|131802038.78|36558|16109.538094|3605.2858139
